имя;I_k, Па;f, Дж;k;T_p, К;ro, кг/м^3;alpha_k, м^3/кг;Z_k;k_1;lambda_1;k_2;lambda_2;k_I, 1/К;k_f, 1/К;
5/1 х-20;7.0000e+05;7.1300e+05;1.2860e+00;1.8900e+03;1.6000e+03;9.6200e-04;1.0000e+00;1.0450e+00;-4.3062e-02;0.0000e+00;0.0000e+00;2.2000e-03;7.0000e-04;
8/1 тр;7.0000e+05;9.9800e+05;1.2270e+00;2.8500e+03;1.6000e+03;1.0170e-03;1.0000e+00;1.0020e+00;-1.9960e-03;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
12/7 В/А;7.2000e+05;1.0160e+06;1.2220e+00;2.9700e+03;1.6000e+03;1.0070e-03;1.5310e+00;7.2400e-01;1.8000e-01;5.4870e-01;-9.3200e-01;1.6000e-03;2.5000e-04;
9/7 МН;7.6000e+05;9.6300e+05;1.2370e+00;2.6900e+03;1.6000e+03;1.0450e-03;1.5230e+00;7.2500e-01;1.8200e-01;5.4704e-01;-9.5600e-01;2.2000e-03;3.0000e-04;
12/7;8.1000e+05;1.0040e+06;1.2260e+00;2.8900e+03;1.6000e+03;1.0130e-03;1.5220e+00;7.2500e-01;1.8300e-01;5.4531e-01;-9.5700e-01;1.6000e-03;3.0000e-04;
5/1 д-25;8.2000e+05;6.2700e+05;1.3100e+00;1.6250e+03;1.6000e+03;9.4200e-04;1.0000e+00;1.0450e+00;-4.3062e-02;0.0000e+00;0.0000e+00;2.2000e-03;7.0000e-04;
14/7 В/А;8.3000e+05;1.0130e+06;1.2240e+00;2.9350e+03;1.6000e+03;1.0100e-03;1.5530e+00;7.2500e-01;1.7300e-01;5.4096e-01;-9.0300e-01;1.6000e-03;2.5000e-04;
14/1 тр В/А;8.4000e+05;1.0190e+06;1.2240e+00;2.9350e+03;1.6000e+03;1.0080e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;2.5000e-04;
12/1 Тр;8.7000e+05;9.9800e+05;1.2270e+00;2.8500e+03;1.6000e+03;1.0166e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
12/1 тр МН;8.8000e+05;9.6400e+05;1.2370e+00;2.6450e+03;1.6000e+03;1.0450e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
